TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	48	1	48	0	0	ASCRP3009482	ASCRP3009482	4779.5	2656.65	4.893792e+000	2.295792e+000	69	21	5.403994e+000	0	0	0	0	0	0	5.44804	1	0	57.5363	21.1267
DATA	49	1	49	0	0	ASCRP3010011	ASCRP3010011	4804.94	2656.72	9.754219e+000	2.446197e+000	75	20	5.107497e+000	0	0	0	0	0	0	10.8576	1	0	50.1463	20.3245
DATA	50	1	50	0	0	A_23_P215720	NM_000492	4830.35	2656.17	3.108585e+000	2.264884e+000	67	20	5.117691e+000	0	0	0	0	0	0	3.46	1	0	49.5074	20.0453
DATA	51	1	51	0	0	ASCRP3005914	ASCRP3005914	4855.71	2656.77	7.882738e+002	7.885934e+001	912	20	5.176579e+000	0	0	0	0	0	0	876.811	1	1	51.4001	20.5329
DATA	52	1	52	0	0	ASCRP3008448	ASCRP3008448	4880.89	2656.46	1.983200e+003	1.983327e+002	2203	20	5.121264e+000	0	0	0	0	0	0	2204.92	1	1	53.2255	20.3611
DATA	53	1	53	0	0	ASCRP3005403	ASCRP3005403	4906.5	2656.5	1.607576e+001	2.763404e+000	83	20	5.180718e+000	0	0	0	0	0	0	17.8593	1	1	57.5363	20.3491
DATA	54	1	54	0	0	ASCRP3004952	ASCRP3004952	4931.68	2656.36	6.289002e+002	6.293024e+001	770	20	5.432241e+000	0	0	0	0	0	0	698.09	1	1	51.4001	20.8585
DATA	55	1	55	0	0	ASCRP3011716	ASCRP3011716	4957.27	2656.83	1.197294e+002	1.218295e+001	193	21	5.363427e+000	0	0	0	0	0	0	132.738	1	1	49.5074	21.141
DATA	56	1	56	0	0	AS_circRNA_control212	AS_circRNA_control212	4982.99	2656.4	3.805916e+002	3.812589e+001	477.5	20	5.008675e+000	0	0	0	0	0	0	421.506	1	1	49.1849	20.3578
DATA	57	1	57	0	0	ASCRP3000311	ASCRP3000311	5008.33	2656.83	9.136669e+000	2.435858e+000	73	20	5.495347e+000	0	0	0	0	0	0	10.1039	1	0	49.8279	20.7
DATA	58	1	58	0	0	ASCRP3001004	ASCRP3001004	5033.49	2656.6	5.688488e+000	2.331485e+000	69	20	5.033461e+000	0	0	0	0	0	0	6.28233	1	0	49.8279	20.4952
DATA	59	1	59	0	0	ASCRP3005954	ASCRP3005954	5058.86	2657.14	4.430993e+001	4.976337e+000	110	20	4.721292e+000	0	0	0	0	0	0	48.8497	1	1	46.8651	20.0562
DATA	60	1	60	0	0	ASCRP3012098	ASCRP3012098	5084.36	2656.19	1.169419e+001	2.551669e+000	76	20	5.074919e+000	0	0	0	0	0	0	12.8757	1	1	48.2044	20.0233
DATA	61	1	61	0	0	ASCRP3003319	ASCRP3003319	5109.58	2656.72	2.344367e+001	3.264882e+000	88	20	4.919749e+000	0	0	0	0	0	0	25.7624	1	1	51.4001	19.8837
DATA	62	1	62	0	0	ASCRP3003051	ASCRP3003051	5135.05	2656.39	7.044076e+001	7.402696e+000	138.5	21	4.912362e+000	0	0	0	0	0	0	77.2771	1	1	49.1849	20.7575
DATA	63	1	63	0	0	ASCRP3004503	ASCRP3004503	5160.62	2656.76	3.771339e+001	4.407382e+000	101	21	5.064504e+000	0	0	0	0	0	0	41.2894	1	1	49.1849	20.9324
DATA	64	1	64	0	0	Negative026	Negative026	5186.01	2656.13	2.887225e+000	2.302790e+000	64.5	20	4.980581e+000	0	0	0	0	0	0	3.1557	1	0	46.8651	20.5158
DATA	65	1	65	0	0	ASCRP3002348	ASCRP3002348	5211.21	2656.83	3.153821e+001	3.897341e+000	94.5	21	5.165610e+000	0	0	0	0	0	0	34.3945	1	1	51.4001	20.8596
DATA	66	1	66	0	0	ASCRP3011765	ASCRP3011765	5236.59	2656.14	1.742764e+001	2.880578e+000	81	20	4.807203e+000	0	0	0	0	0	0	18.9738	1	1	50.1463	20.475
DATA	67	1	67	0	0	ASCRP3002944	ASCRP3002944	5261.87	2656.7	4.698391e+001	5.230517e+000	114	20	4.930147e+000	0	0	0	0	0	0	51.0412	1	1	50.7771	20.6885
