TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	61	1	61	0	0	ASCRP3003319	ASCRP3003319	11459.2	2656.05	1.229313e+001	2.741698e+000	75.5	20	4.853217e+000	0	0	0	0	0	0	12.7186	1	1	48.2044	20.3387
DATA	62	1	62	0	0	ASCRP3003051	ASCRP3003051	11484.5	2655.58	4.684128e+001	5.289934e+000	108	20	4.781711e+000	0	0	0	0	0	0	48.3154	1	1	49.8279	20.4471
DATA	63	1	63	0	0	ASCRP3004503	ASCRP3004503	11509.9	2655.96	2.818719e+001	3.745218e+000	90	20	4.835470e+000	0	0	0	0	0	0	28.9806	1	1	46.8651	20.4778
DATA	64	1	64	0	0	Negative026	Negative026	11535.4	2655.57	2.515829e+000	2.486687e+000	65	20	4.911212e+000	0	0	0	0	0	0	2.56719	0	0	57.5363	20.5143
DATA	65	1	65	0	0	ASCRP3002348	ASCRP3002348	11560.5	2655.72	4.425341e+001	5.073948e+000	106	20	4.914491e+000	0	0	0	0	0	0	45.2033	1	1	51.7088	20.2727
DATA	66	1	66	0	0	ASCRP3011765	ASCRP3011765	11586.1	2655.82	8.540925e+000	2.633017e+000	72	20	5.581281e+000	0	0	0	0	0	0	8.69467	1	0	49.1849	20.696
DATA	67	1	67	0	0	ASCRP3002944	ASCRP3002944	11611.3	2655.78	4.327094e+001	4.996904e+000	104.5	20	5.504764e+000	0	0	0	0	0	0	43.9014	1	1	47.5395	20.6705
DATA	68	1	68	0	0	ASCRP3009856	ASCRP3009856	11636.6	2655.35	9.680068e+000	2.687933e+000	73	20	5.252586e+000	0	0	0	0	0	0	9.78777	1	0	48.8603	20.7933
DATA	69	1	69	0	0	ASCRP3011754	ASCRP3011754	11662.4	2655.76	1.619985e+001	2.992854e+000	80	21	5.190643e+000	0	0	0	0	0	0	16.3219	1	1	49.1849	21.251
DATA	70	1	70	0	0	ASCRP3004993	ASCRP3004993	11687.5	2655.44	2.600358e+001	3.624657e+000	88.5	20	4.669722e+000	0	0	0	0	0	0	26.1102	1	1	49.1849	20.4525
DATA	71	1	71	0	0	ASCRP3008023	ASCRP3008023	11712.8	2655.71	4.437540e+001	5.110061e+000	109	20	5.046069e+000	0	0	0	0	0	0	44.4019	1	1	48.2044	20.749
DATA	72	1	72	0	0	A_23_P252748	NM_007152	11738.3	2655.47	3.533377e+001	4.353236e+000	98	20	5.134763e+000	0	0	0	0	0	0	35.2318	1	1	48.5334	20.6458
DATA	73	1	73	0	0	ASCRP3009717	ASCRP3009717	11763.8	2655.72	5.240776e+000	2.604972e+000	67	20	5.003776e+000	0	0	0	0	0	0	5.20744	1	0	50.1463	20.7951
