ProbeName	circRNA
ASCRP3000258	hsa_circRNA_405405
ASCRP3000259	hsa_circRNA_083815
ASCRP3000260	hsa_circRNA_000761
ASCRP3000261	hsa_circRNA_102294
ASCRP3000262	hsa_circRNA_101978
ASCRP3000263	hsa_circRNA_056978
ASCRP3000264	hsa_circRNA_000521
ASCRP3000265	hsa_circRNA_405514
ASCRP3000266	hsa_circRNA_052153
ASCRP3000267	hsa_circRNA_050054
ASCRP3000268	hsa_circRNA_033062
ASCRP3000269	hsa_circRNA_047559
ASCRP3000270	hsa_circRNA_051908
ASCRP3000271	hsa_circRNA_020960
ASCRP3000272	hsa_circRNA_089353
ASCRP3000273	hsa_circRNA_008077
ASCRP3000274	hsa_circRNA_034125
ASCRP3000275	hsa_circRNA_000562
ASCRP3000276	hsa_circRNA_404660
ASCRP3000277	hsa_circRNA_103952
ASCRP3000278	hsa_circRNA_400416
ASCRP3000279	hsa_circRNA_401977
ASCRP3000280	hsa_circRNA_039714
ASCRP3000281	hsa_circRNA_401170
ASCRP3000282	hsa_circRNA_101603
ASCRP3000283	hsa_circRNA_006345
ASCRP3000284	hsa_circRNA_061975
ASCRP3000285	hsa_circRNA_406259
ASCRP3000286	hsa_circRNA_405211
ASCRP3000287	hsa_circRNA_086348
ASCRP3000288	hsa_circRNA_000449
ASCRP3000289	hsa_circRNA_102987
ASCRP3000290	hsa_circRNA_015871
ASCRP3000291	hsa_circRNA_100058
ASCRP3000292	hsa_circRNA_100067
ASCRP3000293	hsa_circRNA_102633
ASCRP3000294	hsa_circRNA_407001
ASCRP3000295	hsa_circRNA_002822
ASCRP3000296	hsa_circRNA_101081
ASCRP3000297	hsa_circRNA_404782
ASCRP3000298	hsa_circRNA_405487
ASCRP3000299	hsa_circRNA_103997
ASCRP3000300	hsa_circRNA_057607
ASCRP3000301	hsa_circRNA_003251
ASCRP3000302	hsa_circRNA_104213
ASCRP3000303	hsa_circRNA_091722
ASCRP3000304	hsa_circRNA_405239
ASCRP3000305	hsa_circRNA_406640
ASCRP3000306	hsa_circRNA_077879
ASCRP3000307	hsa_circRNA_006750
ASCRP3000308	hsa_circRNA_002912
ASCRP3000309	hsa_circRNA_027588
ASCRP3000310	hsa_circRNA_103730
ASCRP3000311	hsa_circRNA_003033
ASCRP3000312	hsa_circRNA_000564
ASCRP3000313	hsa_circRNA_100167
ASCRP3000314	hsa_circRNA_101805
ASCRP3000315	hsa_circRNA_077745
ASCRP3000316	hsa_circRNA_016661
ASCRP3000317	hsa_circRNA_083127
ASCRP3000318	hsa_circRNA_036127
ASCRP3000319	hsa_circRNA_404401
ASCRP3000320	hsa_circRNA_031210
ASCRP3000321	hsa_circRNA_075083
ASCRP3000322	hsa_circRNA_100594
ASCRP3000323	hsa_circRNA_100356
ASCRP3000324	hsa_circRNA_407231
ASCRP3000325	hsa_circRNA_004145
ASCRP3000326	hsa_circRNA_406172
ASCRP3000327	hsa_circRNA_103495
ASCRP3000328	hsa_circRNA_402418
ASCRP3000329	hsa_circRNA_103308
ASCRP3000330	hsa_circRNA_054547
ASCRP3000331	hsa_circRNA_103492
ASCRP3000332	hsa_circRNA_405568
ASCRP3000333	hsa_circRNA_006861
ASCRP3000334	hsa_circRNA_403874
ASCRP3000335	hsa_circRNA_104323
ASCRP3000336	hsa_circRNA_406724
ASCRP3000337	hsa_circRNA_100517
ASCRP3000338	hsa_circRNA_406082
ASCRP3000339	hsa_circRNA_007019
ASCRP3000340	hsa_circRNA_087581
ASCRP3000341	hsa_circRNA_104882
ASCRP3000342	hsa_circRNA_002481
ASCRP3000343	hsa_circRNA_100872
ASCRP3000344	hsa_circRNA_004650
ASCRP3000345	hsa_circRNA_007091
ASCRP3000346	hsa_circRNA_104803
ASCRP3000347	hsa_circRNA_005185
ASCRP3000348	hsa_circRNA_049637
ASCRP3000349	hsa_circRNA_101577
ASCRP3000350	hsa_circRNA_003657
ASCRP3000351	hsa_circRNA_100093
ASCRP3000352	hsa_circRNA_061687
ASCRP3000353	hsa_circRNA_402268
ASCRP3000354	hsa_circRNA_104054
ASCRP3000355	hsa_circRNA_400980
ASCRP3000356	hsa_circRNA_402050
ASCRP3000357	hsa_circRNA_404803
ASCRP3000358	hsa_circRNA_028826
ASCRP3000359	hsa_circRNA_100613
ASCRP3000360	hsa_circRNA_008945
ASCRP3000361	hsa_circRNA_005995
ASCRP3000362	hsa_circRNA_404177
ASCRP3000363	hsa_circRNA_100080
ASCRP3000364	hsa_circRNA_006238
ASCRP3000365	hsa_circRNA_017648
ASCRP3000366	hsa_circRNA_407083
ASCRP3000367	hsa_circRNA_404643
ASCRP3000368	hsa_circRNA_002971
ASCRP3000369	hsa_circRNA_004350
ASCRP3000370	hsa_circRNA_103663
ASCRP3000371	hsa_circRNA_008134
ASCRP3000372	hsa_circRNA_044014
ASCRP3000373	hsa_circRNA_102491
ASCRP3000374	hsa_circRNA_040831
ASCRP3000375	hsa_circRNA_007239
ASCRP3000376	hsa_circRNA_044904
ASCRP3000377	hsa_circRNA_104839
ASCRP3000378	hsa_circRNA_103462
ASCRP3000379	hsa_circRNA_005208
ASCRP3000380	hsa_circRNA_401601
ASCRP3000381	hsa_circRNA_104081
ASCRP3000382	hsa_circRNA_052254
ASCRP3000383	hsa_circRNA_405143
ASCRP3000384	hsa_circRNA_000166
ASCRP3000385	hsa_circRNA_073630
ASCRP3000386	hsa_circRNA_400659
ASCRP3000387	hsa_circRNA_080052
ASCRP3000388	hsa_circRNA_104450
ASCRP3000389	hsa_circRNA_102517
ASCRP3000390	hsa_circRNA_062439
ASCRP3000391	hsa_circRNA_079614
ASCRP3000392	hsa_circRNA_002084
ASCRP3000393	hsa_circRNA_405399
ASCRP3000394	hsa_circRNA_407276
ASCRP3000395	hsa_circRNA_002509
ASCRP3000396	hsa_circRNA_100224
ASCRP3000397	hsa_circRNA_100837
ASCRP3000398	hsa_circRNA_103339
ASCRP3000399	hsa_circRNA_405983
ASCRP3000400	hsa_circRNA_406603
ASCRP3000401	hsa_circRNA_101204
ASCRP3000402	hsa_circRNA_101526
ASCRP3000403	hsa_circRNA_000010
ASCRP3000404	hsa_circRNA_102821
ASCRP3000405	hsa_circRNA_023305
ASCRP3000406	hsa_circRNA_092392
ASCRP3000407	hsa_circRNA_062160
ASCRP3000408	hsa_circRNA_102245
ASCRP3000409	hsa_circRNA_405979
ASCRP3000410	hsa_circRNA_405119
ASCRP3000411	hsa_circRNA_002953
ASCRP3000412	hsa_circRNA_016458
ASCRP3000413	hsa_circRNA_038480
ASCRP3000414	hsa_circRNA_406905
ASCRP3000415	hsa_circRNA_103029
ASCRP3000416	hsa_circRNA_031830
ASCRP3000417	hsa_circRNA_031831
ASCRP3000418	hsa_circRNA_101089
ASCRP3000419	hsa_circRNA_009181
ASCRP3000420	hsa_circRNA_042280
ASCRP3000421	hsa_circRNA_103845
ASCRP3000422	hsa_circRNA_102984
ASCRP3000423	hsa_circRNA_001126
ASCRP3000424	hsa_circRNA_100499
ASCRP3000425	hsa_circRNA_404704
ASCRP3000426	hsa_circRNA_404337
ASCRP3000427	hsa_circRNA_088749
ASCRP3000428	hsa_circRNA_005432
ASCRP3000429	hsa_circRNA_100735
ASCRP3000430	hsa_circRNA_104191
ASCRP3000431	hsa_circRNA_406216
ASCRP3000432	hsa_circRNA_404878
ASCRP3000433	hsa_circRNA_401976
ASCRP3000434	hsa_circRNA_022382
ASCRP3000435	hsa_circRNA_102618
ASCRP3000436	hsa_circRNA_100576
ASCRP3000437	hsa_circRNA_005303
ASCRP3000438	hsa_circRNA_043650
ASCRP3000439	hsa_circRNA_007011
ASCRP3000440	hsa_circRNA_100808
ASCRP3000441	hsa_circRNA_101904
ASCRP3000442	hsa_circRNA_002197
ASCRP3000443	hsa_circRNA_101661
ASCRP3000444	hsa_circRNA_092498
ASCRP3000445	hsa_circRNA_039400
ASCRP3000446	hsa_circRNA_100757
